City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,mount gambier,-37.8333,140.7667,9.33,85,100,2.16,AU,1724008930
216,booue,-0.0921,11.9385,24.37,81,77,1.51,GA,1724008932
217,tsiombe,-25.3,45.4833,19.49,70,0,4.68,MG,1724008933
218,kourou,5.1552,-52.6478,29.76,63,24,3.6,GF,1724008934
219,chifeng,42.2683,118.9636,19.18,96,99,1.52,CN,1724008935
220,antonio enes,-16.2325,39.9086,22.91,78,4,3.82,MZ,1724008936
221,prince albert,53.2001,-105.7677,23.97,64,75,3.09,CA,1724008937
222,remire-montjoly,4.9167,-52.2667,31.02,70,0,4.63,GF,1724008939
223,alofi,-19.0595,-169.9187,22.94,88,40,5.14,NU,1724008940
224,dehdasht,30.7949,50.5646,33.0,37,0,0.68,IR,1724008941
225,rikaze,29.25,88.8833,13.17,42,1,1.58,CN,1724008943
226,enewetak,11.3474,162.3373,28.56,77,91,6.47,MH,1724008871
227,bathsheba,13.2167,-59.5167,30.34,79,20,4.63,BB,1724008946
228,tranas,58.0372,14.9782,13.34,80,100,1.91,SE,1724008947
229,salmas,38.1973,44.7653,22.5,48,11,1.24,IR,1724008948
230,dieppe,49.75,1.1667,15.01,82,0,2.67,FR,1724008949
231,ponta delgada,37.7333,-25.6667,26.4,69,40,3.09,PT,1724008950
232,betio village,1.358,172.9211,28.02,75,56,6.8,KI,1724008953
233,longmen,24.9597,118.0889,24.83,98,92,0.17,CN,1724008954
234,qaqortoq,60.7167,-46.0333,6.13,73,1,2.08,GL,1724008955
235,kavaratti,10.5669,72.642,26.52,91,95,7.2,IN,1724008956
236,touros,-5.1989,-35.4608,26.65,68,91,7.8,BR,1724008957
237,severobaykal'sk,55.65,109.3167,14.27,70,95,1.53,RU,1724008959
238,port isabel,26.0734,-97.2086,34.02,72,0,5.14,US,1724008960
239,badger,64.8,-147.5333,21.95,70,0,3.09,US,1724008961
240,auki,-8.7676,160.7034,25.29,91,100,1.89,SB,1724008962
241,powell,40.1578,-83.0752,27.32,64,100,2.57,US,1724008963
242,rouissat,31.9243,5.3502,38.04,16,0,2.06,DZ,1724008964
243,senillosa,-39.0,-68.4167,6.88,84,100,8.83,AR,1724008966
244,bad konigshofen im grabfeld,50.3,10.4833,17.79,93,100,5.2,DE,1724008967
245,kapoeta,4.7717,33.5903,25.09,66,92,2.48,SS,1724008968
246,puerto aysen,-45.4,-72.7,6.11,81,31,1.17,CL,1724008815
247,lata,40.1629,-8.3327,21.22,65,2,2.57,PT,1724008972
248,wajir,1.7471,40.0573,28.4,40,52,11.81,KE,1724008973
249,port elizabeth,-33.918,25.5701,16.84,80,40,2.06,ZA,1724008974
250,mekhe,15.1097,-16.6218,29.17,69,72,7.01,SN,1724008975
251,zaio,34.9428,-2.7329,30.9,29,5,1.91,MA,1724008976
252,hami,42.8,93.45,32.99,11,0,7.99,CN,1724008977
253,fort bragg,35.139,-79.006,32.75,58,40,4.12,US,1724008979
254,port lincoln,-34.7333,135.8667,13.07,84,100,8.54,AU,1724008981
255,poronaysk,49.2167,143.1167,10.31,95,1,1.08,RU,1724008834
256,calvi,42.5,8.8333,21.35,64,40,5.14,FR,1724008983
257,maughold,54.2988,-4.3184,14.68,79,0,2.74,IM,1724008985
258,isangel,-19.55,169.2667,22.51,88,1,1.31,VU,1724008968
259,lompoc,34.6391,-120.4579,26.44,73,0,2.24,US,1724008987
260,mejit,10.2753,170.8646,28.35,76,67,5.47,MH,1724008988
261,constantia,44.1833,28.65,22.61,71,38,1.81,RO,1724008855
262,tabas,33.5959,56.9244,33.54,22,0,2.35,IR,1724008990
263,karatuzskoye,53.6072,92.8667,16.89,96,100,1.39,RU,1724008992
264,codajas,-3.8367,-62.0569,39.51,20,29,1.57,BR,1724008993
265,sorong,-0.8833,131.25,25.08,92,100,4.93,ID,1724008994
266,alice springs,-23.7,133.8833,18.75,30,1,1.54,AU,1724008995
267,yajiwa,11.3839,12.7236,25.67,81,100,3.62,NG,1724008996
268,yeppoon,-23.1333,150.7333,16.57,79,0,1.85,AU,1724008997
269,island harbour,50.724,-1.2758,19.04,75,7,0.89,GB,1724008999
270,puerto ayacucho,5.6639,-67.6236,33.67,48,14,1.47,VE,1724009000
271,ancud,-41.8697,-73.8203,8.4,61,12,5.21,CL,1724009001
272,kintampo,8.0563,-1.7306,25.87,66,97,2.24,GH,1724009002
273,nadi,-17.8,177.4167,20.0,88,20,1.03,FJ,1724009003
274,glace bay,46.1969,-59.957,26.19,62,75,6.69,CA,1724009004
